"structure.1L...Label...c..D....I....class....factor..","structure.1L...Label...c..D....I....class....factor...1","structure.1L...Label...c..D....I....class....factor...2","structure.1L...Label...c..D....I....class....factor...3","structure.1L...Label...c..D....I....class....factor...4","structure.2L...Label...c..D....I....class....factor..","structure.1L...Label...c..D....I....class....factor...5","structure.1L...Label...c..D....I....class....factor...6","structure.1L...Label...c..D....I....class....factor...7","structure.1L...Label...c..D....I....class....factor...8","structure.2L...Label...c..D....I....class....factor...1","structure.2L...Label...c..D....I....class....factor...2","structure.2L...Label...c..D....I....class....factor...3","structure.2L...Label...c..D....I....class....factor...4","structure.2L...Label...c..D....I....class....factor...5","structure.1L...Label...c..D....I....class....factor...9","structure.2L...Label...c..D....I....class....factor...6","structure.1L...Label...c..D....I....class....factor...10","structure.1L...Label...c..D....I....class....factor...11","structure.2L...Label...c..D....I....class....factor...7"
"D","D","D","D","D","I","D","D","D","D","I","I","I","I","I","D","I","D","D","I"
